category,mode,k_shot,seed,Image AUROC,Image AP,Image F1,Pixel AUROC,Pixel AP,Pixel F1,Pixel PRO
bottle,k1,1,0,1.0000,1.0000,1.0000,0.9787,0.7678,0.7402,0.9179
bottle,k1,1,42,0.9992,0.9998,0.9921,0.9705,0.7493,0.7168,0.8989
bottle,k1,1,123,1.0000,1.0000,1.0000,0.9754,0.7594,0.7301,0.8909
bottle,k1,1,456,0.9984,0.9995,0.9920,0.9667,0.7039,0.6904,0.9061
bottle,k1,1,789,1.0000,1.0000,1.0000,0.9754,0.7565,0.7296,0.9319
bottle,k2,2,0,0.9992,0.9998,0.9921,0.9764,0.7588,0.7309,0.9060
bottle,k2,2,42,1.0000,1.0000,1.0000,0.9801,0.7862,0.7497,0.9408
bottle,k2,2,123,0.9984,0.9995,0.9920,0.9786,0.7601,0.7385,0.9094
bottle,k2,2,456,0.9976,0.9992,0.9921,0.9799,0.7466,0.7384,0.9273
bottle,k2,2,789,1.0000,1.0000,1.0000,0.9830,0.7874,0.7566,0.9365
bottle,k2,2,789,1.0000,1.0000,1.0000,0.9781,0.7756,0.7411,0.9247
bottle,k4,4,0,0.9984,0.9995,0.9921,0.9766,0.7626,0.7300,0.8995
bottle,k4,4,42,1.0000,1.0000,1.0000,0.9816,0.7677,0.7567,0.9246
bottle,k4,4,123,0.9992,0.9998,0.9921,0.9799,0.7696,0.7416,0.9112
bottle,k4,4,456,0.9976,0.9992,0.9921,0.9808,0.7686,0.7440,0.9026
bottle,k4,4,789,1.0000,1.0000,1.0000,0.9812,0.7668,0.7537,0.9104
cable,k1,1,0,0.7969,0.8806,0.7944,0.9118,0.5100,0.5169,0.7887
cable,k1,1,42,0.8184,0.8597,0.8365,0.8919,0.4227,0.4469,0.7517
cable,k1,1,123,0.9245,0.9577,0.8913,0.9322,0.5738,0.5684,0.8096
cable,k1,1,456,0.8654,0.9188,0.8500,0.9154,0.5192,0.5290,0.7740
cable,k1,1,789,0.7397,0.7996,0.8041,0.8429,0.3847,0.4200,0.6880
cable,k2,2,0,0.8390,0.9098,0.8229,0.9197,0.5747,0.5666,0.8091
cable,k2,2,42,0.8919,0.9351,0.8571,0.9337,0.5872,0.5837,0.8525
cable,k2,2,123,0.8816,0.9293,0.8451,0.9300,0.6045,0.5792,0.8415
cable,k2,2,456,0.8720,0.9237,0.8415,0.9303,0.5576,0.5695,0.8090
cable,k2,2,789,0.8266,0.8924,0.8247,0.8944,0.5159,0.4995,0.7728
cable,k2,2,789,0.8325,0.8960,0.8218,0.8840,0.5089,0.4976,0.7714
cable,k4,4,0,0.9355,0.9650,0.8889,0.9525,0.6292,0.6211,0.8814
cable,k4,4,42,0.9779,0.9866,0.9508,0.9542,0.6495,0.6333,0.9016
cable,k4,4,123,0.9194,0.9572,0.8865,0.9450,0.6248,0.6103,0.8688
cable,k4,4,456,0.9561,0.9722,0.9158,0.9467,0.6371,0.6022,0.8800
cable,k4,4,789,0.9625,0.9767,0.9278,0.9539,0.6580,0.6285,0.8934
